payment_id,customer_id,paid_at,amount,currency,status
pay_8af54a1afd5a,cus_1a454976bb1d,2026-02-13 21:20:39.502474+00:00,12.0,USD,paid
pay_de545c255ed4,cus_065d59e33ab9,2025-10-31 21:20:39.502474+00:00,12.0,USD,paid
pay_8dbe5a5942be,cus_065d59e33ab9,2025-12-02 21:20:39.502474+00:00,12.0,USD,paid
pay_8f3d34602232,cus_065d59e33ab9,2025-12-30 21:20:39.502474+00:00,12.0,USD,paid
pay_547fe9c51178,cus_a698ff6a363e,2026-01-14 21:20:39.502474+00:00,15.0,USD,paid
pay_87d933479134,cus_988774fcfc9f,2025-12-21 21:20:39.502474+00:00,12.0,USD,paid
pay_b81ae63eb741,cus_8567fe5f8242,2026-01-22 21:20:39.502474+00:00,15.0,USD,paid
pay_0a0ebe8861bb,cus_7370cd24d893,2025-12-16 21:20:39.502474+00:00,15.0,USD,paid
pay_fadbb12849b0,cus_7370cd24d893,2026-01-14 21:20:39.502474+00:00,15.0,USD,paid
pay_d4c87338aa0f,cus_db6f38335ff4,2025-01-06 21:20:39.502474+00:00,12.0,USD,paid
pay_bcb347bc0e75,cus_db6f38335ff4,2025-02-07 21:20:39.502474+00:00,12.0,USD,paid
pay_b4313e3d9ab5,cus_db6f38335ff4,2025-03-07 21:20:39.502474+00:00,12.0,USD,paid
pay_559773b865fd,cus_db6f38335ff4,2025-04-07 21:20:39.502474+00:00,12.0,USD,paid
pay_f7a26b61b563,cus_db6f38335ff4,2025-05-06 21:20:39.502474+00:00,12.0,USD,paid
pay_553b28e5d883,cus_db6f38335ff4,2025-06-07 21:20:39.502474+00:00,12.0,USD,paid
pay_4e17af6e0831,cus_db6f38335ff4,2025-07-07 21:20:39.502474+00:00,12.0,USD,paid
pay_2bff5d842c6b,cus_db6f38335ff4,2025-08-05 21:20:39.502474+00:00,12.0,USD,paid
pay_21f9d7b35d89,cus_db6f38335ff4,2025-09-05 21:20:39.502474+00:00,12.0,USD,paid
pay_5e2e69e5616b,cus_db6f38335ff4,2025-10-04 21:20:39.502474+00:00,12.0,USD,paid
pay_a2f115223674,cus_db6f38335ff4,2025-11-03 21:20:39.502474+00:00,12.0,USD,paid
pay_db5b8bc88d76,cus_db6f38335ff4,2025-12-04 21:20:39.502474+00:00,12.0,USD,paid
pay_f9c9718ca890,cus_db6f38335ff4,2026-01-02 21:20:39.502474+00:00,12.0,USD,paid
pay_fab55333c748,cus_504cb6de696e,2025-11-27 21:20:39.502474+00:00,12.0,USD,paid
pay_a2982da885fb,cus_504cb6de696e,2025-12-28 21:20:39.502474+00:00,12.0,USD,paid
pay_b97c8d96cba0,cus_b8afffc3f058,2025-11-17 21:20:39.502474+00:00,12.0,USD,paid
pay_631a55048c53,cus_b8afffc3f058,2025-12-17 21:20:39.502474+00:00,12.0,USD,paid
pay_68df943df482,cus_b8afffc3f058,2026-01-16 21:20:39.502474+00:00,12.0,USD,paid
pay_6f16c6cd7662,cus_7fc307eef8f2,2025-08-22 21:20:39.502474+00:00,12.0,USD,paid
pay_b6e06da4c166,cus_7fc307eef8f2,2025-09-21 21:20:39.502474+00:00,12.0,USD,paid
pay_bc5883bd31dc,cus_7fc307eef8f2,2025-10-22 21:20:39.502474+00:00,12.0,USD,paid
pay_9adcb79bbcf2,cus_7fc307eef8f2,2025-11-20 21:20:39.502474+00:00,12.0,USD,paid
pay_d5bf7436a3dc,cus_7fc307eef8f2,2025-12-21 21:20:39.502474+00:00,12.0,USD,paid
pay_334d35933f88,cus_a7ead28105a1,2026-02-14 21:20:39.502474+00:00,15.0,USD,paid
pay_fbd47a3bcdbc,cus_aa370f85040d,2025-07-24 21:20:39.502474+00:00,12.0,USD,paid
pay_883e42d03b12,cus_aa370f85040d,2025-08-24 21:20:39.502474+00:00,12.0,USD,paid
pay_1f914ede7bfe,cus_aa370f85040d,2025-09-23 21:20:39.502474+00:00,12.0,USD,paid
pay_497e15c3b1d2,cus_aa370f85040d,2025-10-22 21:20:39.502474+00:00,12.0,USD,paid
pay_e484d21ab2f1,cus_aa370f85040d,2025-11-22 21:20:39.502474+00:00,12.0,USD,paid
pay_feab594059e2,cus_aa370f85040d,2025-12-20 21:20:39.502474+00:00,12.0,USD,paid
pay_31809f44ea4b,cus_707053802498,2025-11-17 21:20:39.502474+00:00,15.0,USD,paid
pay_73cbd693e416,cus_707053802498,2025-12-16 21:20:39.502474+00:00,15.0,USD,paid
pay_0336a91fbc1f,cus_707053802498,2026-01-17 21:20:39.502474+00:00,15.0,USD,paid
pay_71a1f8b5c5bd,cus_5a35fd80eef5,2025-12-06 21:20:39.502474+00:00,15.0,USD,paid
pay_16800adda7db,cus_5a35fd80eef5,2026-01-05 21:20:39.502474+00:00,15.0,USD,paid
pay_a01585864646,cus_e154df84f40d,2026-01-26 21:20:39.502474+00:00,12.0,USD,paid
pay_23de69306a57,cus_6c8600aa4148,2025-12-20 21:20:39.502474+00:00,12.0,USD,paid
pay_ef38b2d5f830,cus_e5799ffa9e13,2025-11-10 21:20:39.502474+00:00,12.0,USD,paid
pay_b7219bf08347,cus_e5799ffa9e13,2025-12-08 21:20:39.502474+00:00,12.0,USD,paid
pay_32ed2d3775bf,cus_e5799ffa9e13,2026-01-08 21:20:39.502474+00:00,12.0,USD,paid
pay_4e1b530649d0,cus_3833779200d8,2025-05-23 21:20:39.502474+00:00,12.0,USD,paid
pay_33677597d792,cus_3833779200d8,2025-06-21 21:20:39.502474+00:00,12.0,USD,paid
pay_50bf3ce817ee,cus_3833779200d8,2025-07-21 21:20:39.502474+00:00,12.0,USD,paid
pay_854f3373306b,cus_3833779200d8,2025-08-20 21:20:39.502474+00:00,12.0,USD,paid
pay_3c6284348abb,cus_3833779200d8,2025-09-21 21:20:39.502474+00:00,12.0,USD,paid
pay_8bbe37f23e14,cus_3833779200d8,2025-10-19 21:20:39.502474+00:00,12.0,USD,paid
pay_46006a6e2a1c,cus_3833779200d8,2025-11-20 21:20:39.502474+00:00,12.0,USD,paid
pay_8a0e8e5e2143,cus_3833779200d8,2025-12-18 21:20:39.502474+00:00,12.0,USD,paid
pay_0234fd4f2a52,cus_84e229a24fd3,2026-01-15 21:20:39.502474+00:00,15.0,USD,paid
pay_bd04e4907f62,cus_4d9b7eb94a9f,2025-11-11 21:20:39.502474+00:00,12.0,USD,paid
pay_a73a88d86658,cus_4d9b7eb94a9f,2025-12-12 21:20:39.502474+00:00,12.0,USD,paid
pay_67f7b3569f35,cus_4d9b7eb94a9f,2026-01-11 21:20:39.502474+00:00,12.0,USD,paid
pay_3411d01385e4,cus_16a6a96d6c25,2025-11-30 21:20:39.502474+00:00,15.0,USD,paid
pay_59351ef0100d,cus_16a6a96d6c25,2026-01-01 21:20:39.502474+00:00,15.0,USD,paid
pay_d534dd738225,cus_293fecb821ba,2025-12-14 21:20:39.502474+00:00,12.0,USD,paid
pay_6cab0bff4e78,cus_293fecb821ba,2026-01-14 21:20:39.502474+00:00,12.0,USD,paid
pay_d2b20ebfb467,cus_d63519c04e15,2025-11-28 21:20:39.502474+00:00,15.0,USD,paid
pay_f0aa6dabd3db,cus_d63519c04e15,2025-12-28 21:20:39.502474+00:00,15.0,USD,paid
pay_d73e8d83b051,cus_a398f0893399,2026-02-02 21:20:39.502474+00:00,12.0,USD,paid
pay_2aec16e35ecb,cus_c6ada9f0c0e1,2026-01-19 21:20:39.502474+00:00,20.0,USD,paid
pay_63825d122e7d,cus_4c9e14c90360,2025-11-17 21:20:39.502474+00:00,60.0,USD,paid
pay_e57e7e33b924,cus_4c9e14c90360,2025-12-16 21:20:39.502474+00:00,60.0,USD,paid
pay_7bc0c354b45a,cus_4c9e14c90360,2026-01-17 21:20:39.502474+00:00,60.0,USD,paid
pay_3327acdac037,cus_26edf5d5e4e7,2025-12-31 21:20:39.502474+00:00,12.0,USD,paid
pay_4c8ec520d7b3,cus_baad4c4fdd58,2025-09-24 21:20:39.502474+00:00,12.0,USD,paid
pay_2ed3727e378c,cus_baad4c4fdd58,2025-10-26 21:20:39.502474+00:00,12.0,USD,paid
pay_a493b0827ed6,cus_baad4c4fdd58,2025-11-24 21:20:39.502474+00:00,12.0,USD,paid
pay_73d5434d9e75,cus_baad4c4fdd58,2025-12-25 21:20:39.502474+00:00,12.0,USD,paid
pay_f096caa7dbb7,cus_db2ca0cef178,2025-12-24 21:20:39.502474+00:00,15.0,USD,paid
pay_342e8f997546,cus_18abaab73563,2026-01-17 21:20:39.502474+00:00,12.0,USD,paid
pay_23bdef12fd51,cus_d9dac48dc772,2025-11-26 21:20:39.502474+00:00,90.0,USD,paid
pay_144a39ba0f11,cus_d9dac48dc772,2025-12-25 21:20:39.502474+00:00,90.0,USD,paid
pay_99e46434fae0,cus_a0fb56482117,2025-11-25 21:20:39.502474+00:00,12.0,USD,paid
pay_51cb2e3ea010,cus_a0fb56482117,2025-12-25 21:20:39.502474+00:00,12.0,USD,paid
pay_13bc2c1bea2e,cus_8f01ec25f497,2026-01-06 21:20:39.502474+00:00,12.0,USD,paid
pay_a47e47f86b51,cus_4af9c532fa44,2025-08-25 21:20:39.502474+00:00,45.0,USD,paid
pay_d00daeb23dad,cus_4af9c532fa44,2025-09-25 21:20:39.502474+00:00,45.0,USD,paid
pay_6591c4d79014,cus_4af9c532fa44,2025-10-25 21:20:39.502474+00:00,45.0,USD,paid
pay_9c7d08c4d299,cus_4af9c532fa44,2025-11-24 21:20:39.502474+00:00,45.0,USD,paid
