subscription_id,customer_id,start_date,end_date,status,mrr
sub_830e7df16ae0,cus_1a454976bb1d,2026-02-12,,active,12.0
sub_32d306e57997,cus_065d59e33ab9,2025-10-31,,active,12.0
sub_b5f2d16ccbf1,cus_a698ff6a363e,2026-01-14,,active,15.0
sub_0f8592616bce,cus_988774fcfc9f,2025-12-19,,active,12.0
sub_aaa088fc6235,cus_8567fe5f8242,2026-01-22,,active,15.0
sub_c88d595844a9,cus_7370cd24d893,2025-12-14,2026-03-09,canceled,15.0
sub_a61b0a78daf8,cus_db6f38335ff4,2025-01-06,,active,12.0
sub_2957e6654553,cus_504cb6de696e,2025-11-27,,active,12.0
sub_dab27102ad7d,cus_b8afffc3f058,2025-11-16,,active,12.0
sub_b8e9f9fd8b17,cus_7fc307eef8f2,2025-08-22,,active,12.0
sub_aa4e056dfc4b,cus_a7ead28105a1,2026-02-14,,active,15.0
sub_8726c83ab15b,cus_aa370f85040d,2025-07-23,,active,12.0
sub_bd162c461ed6,cus_707053802498,2025-11-16,,active,15.0
sub_de8d653cd5ee,cus_5a35fd80eef5,2025-12-04,,active,15.0
sub_9c1744190c92,cus_e154df84f40d,2026-01-24,,active,12.0
sub_038824a7cdba,cus_6c8600aa4148,2025-12-20,2026-01-20,canceled,12.0
sub_9ee593950c0b,cus_e5799ffa9e13,2025-11-08,,active,12.0
sub_0dbbb998ed5d,cus_3833779200d8,2025-05-22,,active,12.0
sub_d465c459c264,cus_84e229a24fd3,2026-01-15,,active,15.0
sub_aaa7a372bac8,cus_4d9b7eb94a9f,2025-11-11,,active,12.0
sub_aec23dd07adb,cus_16a6a96d6c25,2025-11-30,,active,15.0
sub_f03496078173,cus_293fecb821ba,2025-12-14,,active,12.0
sub_73958bff2dc6,cus_d63519c04e15,2025-11-28,,active,15.0
sub_3acb2516316a,cus_a398f0893399,2026-02-01,,active,12.0
sub_806bf6117780,cus_c6ada9f0c0e1,2026-01-17,,active,20.0
sub_51a77ed23b90,cus_4c9e14c90360,2025-11-16,,active,60.0
sub_7aac8efb7128,cus_26edf5d5e4e7,2025-12-30,,active,12.0
sub_01d30c2dcf49,cus_baad4c4fdd58,2025-09-24,,active,12.0
sub_6477314efa5f,cus_db2ca0cef178,2025-12-24,,active,15.0
sub_24af34a36e29,cus_18abaab73563,2026-01-17,2026-04-26,canceled,12.0
sub_f05288bb33e6,cus_d9dac48dc772,2025-11-24,,active,90.0
sub_a333b75c772b,cus_a0fb56482117,2025-11-23,,active,12.0
sub_70da0aa7f1ac,cus_8f01ec25f497,2026-01-04,,active,12.0
sub_51e6bf46d51e,cus_4af9c532fa44,2025-08-24,,active,45.0
sub_a57c7c3fb1cc,cus_14d717374e0a,2026-02-06,2026-03-01,canceled,60.0
sub_98475715907b,cus_97b583c47dab,2025-07-05,,active,60.0
sub_bc1896a02c69,cus_2cb43be314d4,2026-01-26,,active,12.0
sub_bf3a20cf0c0a,cus_ca3e8122e898,2025-08-01,,active,12.0
sub_da18533793e8,cus_47030cd200f8,2026-01-08,,active,12.0
sub_67a282dbcd89,cus_f01075450950,2025-11-21,,active,15.0
sub_bbb28c340e9d,cus_4c7c2d2ee594,2026-02-14,,active,15.0
